color_square,position,position_x,corr_resp,type,training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,trials_loop_1.thisRepN,trials_loop_1.thisTrialN,trials_loop_1.thisN,trials_loop_1.thisIndex,trials_loop_2.thisRepN,trials_loop_2.thisTrialN,trials_loop_2.thisN,trials_loop_2.thisIndex,trials_loop_3.thisRepN,trials_loop_3.thisTrialN,trials_loop_3.thisN,trials_loop_3.thisIndex,key_start_training.started,start_image_training.started,key_start_training.keys,key_start_training.rt,plus_image.started,text_blank_250.started,square_training.started,key_resp_training.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_feedback_component.started,text_blank_500.started,text_feedback_component.stopped,text_blank_500.stopped,plus_image.stopped,text_blank_250.stopped,key_start_trial.started,start_image_trial.started,key_start_trial.keys,key_start_trial.rt,square_trial.started,key_resp_trial.started,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_start_trial_2.started,start_image_trial_2.started,key_start_trial_2.keys,key_start_trial_2.rt,key_finish.started,text_finish.started,key_finish.keys,key_finish.rt,participant,session,bilingual,date,expName,psychopyVersion,frameRate,
blue,right,0.5,left,incongruent,,,,,2,5,17,1,,,,,,,,,,,,,169.1099331001751,169.92551720002666,,,,,,,170.84133860003203,,171.0910000000149,,,,,,,170.17513950006105,170.17513950006105,left,1,0.64549639984034,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,,,,,3,0,18,2,,,,,,,,,,,,,171.0910000000149,171.890364699997,,,,,,,172.6230195001699,,172.87289080000482,171.890364699997,172.14026220003143,,,,,172.14026220003143,172.14026220003143,right,0,0.45615750015713274,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,,,,,3,1,19,0,,,,,,,,,,,,,172.87289080000482,173.67204590002075,,,,,,,174.60461390018463,,174.85433650016785,173.67204590002075,173.92203600006178,,,,,173.92203600006178,173.92203600006178,left,1,0.6665747999213636,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,,,,,3,2,20,1,,,,,,,,,,,,,174.85433650016785,175.6537820000667,,,,,,,176.4030333000701,,176.65283760009333,175.6537820000667,175.9035761000123,,,,,175.9035761000123,175.9035761000123,left,1,0.4771676999516785,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,,,,,3,3,21,2,,,,,,,,,,,,,176.65283760009333,177.45270220004022,,,,,,,178.13492440013215,,178.38492260011844,177.45270220004022,177.7021759999916,,,,,177.7021759999916,177.7021759999916,left,1,0.414854200091213,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,,,,,3,4,22,0,,,,,,,,,,,,,178.38492260011844,179.2005432001315,,,,,,,179.99995690002106,,180.24961450020783,,,,,,,179.4504258001689,179.4504258001689,left,1,0.5226050999481231,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,,,,,3,5,23,2,,,,,,,,,,,,,180.24961450020783,181.04904490010813,,,,,,,181.7983174000401,,182.04823340009898,181.04904490010813,181.2986333000008,,,,,181.2986333000008,181.2986333000008,left,1,0.48287960002198815,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,,,,,4,0,24,0,,,,,,,,,,,,,182.04823340009898,182.84745020000264,,,,,,,183.77993610012345,,184.02978620002978,182.84745020000264,183.09713380015455,,,,,183.09713380015455,183.09713380015455,left,1,0.6513040999416262,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,,,,,4,1,25,4,,,,,,,,,,,,,184.02978620002978,184.82901930017397,,,,,,,185.74501950014383,,185.99470000015572,184.82901930017397,185.07872610003687,,,,,185.07872610003687,185.07872610003687,right,1,0.6458955998532474,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,,,,,4,2,26,5,,,,,,,,,,,,,185.99470000015572,186.7941988001112,,,,,,,187.3939002000261,,187.6435210001655,186.7941988001112,187.0438143000938,,,,,187.0438143000938,187.0438143000938,right,1,0.32123670005239546,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,,,,,4,3,27,2,,,,,,,,,,,,,187.6435210001655,188.45931030018255,,,,,,,189.22517950017937,,189.47515060007572,,,,,,,188.7089875000529,188.7089875000529,left,1,0.48779279994778335,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,,,,,4,4,28,5,,,,,,,,,,,,,189.47515060007572,190.27446420001797,,,,,,,191.07364660012536,,191.323528500041,190.27446420001797,190.52393140015192,,,,,190.52393140015192,190.52393140015192,right,1,0.520318099996075,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,,,,,4,5,29,2,,,,,,,,,,,,,191.323528500041,192.12260520015843,,,,,,,192.8723274001386,,193.1218907001894,192.12260520015843,192.3725368999876,,,,,192.3725368999876,192.3725368999876,left,1,0.47191189997829497,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,,,,,5,0,30,2,,,,,,,,,,,,,193.1218907001894,193.92116360017098,,,,,,,194.6705214001704,,194.92039990006015,193.92116360017098,194.1710404001642,,,,,194.1710404001642,194.1710404001642,left,1,0.4734674000646919,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,,,,,5,1,31,5,,,,,,,,,,,,,194.92039990006015,195.71949140005745,,,,,,,196.452246400062,,196.70213840017095,195.71949140005745,195.9690507000778,,,,,195.9690507000778,195.9690507000778,right,1,0.45988280000165105,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,,,,,5,2,32,5,,,,,,,,,,,,,196.70213840017095,197.5184793001972,,,,,,,198.43390360008925,,198.68356800009497,,,,,,,197.76772860018536,197.76772860018536,right,1,0.645138000138104,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,,,,,5,3,33,4,,,,,,,,,,,,,198.68356800009497,199.48317999998108,,,,,,,200.48215970001183,,200.73168259998783,199.48317999998108,199.73262280016206,,,,,199.73262280016206,199.73262280016206,right,1,0.7282523999456316,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
